pair_id,lang,arm,concept,subject,writer_id,positive,negative,n_pos,n_neg,ratio,flag_length,flag_identical,flag_nfc
S035,yor,A,sentiment,A football match,unknown,Olùṣọ́-lébàá wa o jẹ́ kí àwọn ọ̀tá kùnà láti gbógo wọlé.,Mi ò gbádùn eré bọ́ọ̀lù náà,11,6,1.8333333333333333,False,False,False
S036,yor,A,sentiment,A football match,unknown,Ìfọwọ́sowọ́pọ̀ awọn agbábọ́ọ̀lù náà fún mi ní ayọ̀,Àìgbọ́ra-ẹni-yé àwọn agbábọ́ọ̀lù náà dù mí,8,6,1.3333333333333333,False,False,False
S037,yor,A,sentiment,Electricity supply,unknown,Ina mọ̀nàmọ́ná ti dúró ṣinṣin láìní idadúró kankan láti ìbẹ̀rẹ̀ dé òpin gbogbo ọ̀sẹ̀ yìí,Ko sí iná mọ̀nàmọ́ná láti ìbẹ̀rẹ̀ ọ̀sẹ̀ yìí,15,8,1.875,False,False,False
S038,yor,A,sentiment,Electricity supply,unknown,Ilé-iṣẹ́ iná mọ̀nàmọ́ná yára tún iná mọ̀nàmọ́ná ṣe,Ìpèsè iná mọ̀nàmọ́ná ti wọ́n gan báyìí,8,7,1.1428571428571428,False,False,False
S039,yor,A,sentiment,Electricity supply,unknown,Ètò olùyípadà agbára oòrùn ti díìkù  igbẹkẹ́lẹ̀ lori ètò ìpèsè iná mọ̀nàmọ́ná tí kì í dúró sójú kan rárá,Ko sí ibi tí a ti lè rí iná mọ̀nàmọ́ná gbà,19,11,1.7272727272727273,False,False,False
S040,yor,A,sentiment,Electricity supply,unknown,Owó iná wa kéré gan ní oṣù yìí,Owó iná mọ̀nàmọ́ná náà ga jù,8,6,1.3333333333333333,False,False,False
S041,yor,A,sentiment,New clothes or shoes,unknown,Àwọn bàtà eré-sísá wọ̀nyí bá ẹsẹ̀ mu dáadáa,Aṣọ tuntun tí mo rà. ti ya,8,7,1.1428571428571428,False,False,False
S042,yor,A,sentiment,New clothes or shoes,unknown,Aṣọ náà wọ̀ dáadáa láìsí àléébù kankan,Aṣọ tuntun náà ní àbààwọ́n,7,5,1.4,False,False,False
S043,yor,A,sentiment,New clothes or shoes,unknown,Mo gba ọ̀pọ̀lọpọ̀ ìyìn lórí aṣọ tuntun mi níbi àpéjọ náà,Oju n tì mí láti wọ aṣọ náà.,11,8,1.375,False,False,False
S044,yor,A,sentiment,New clothes or shoes,unknown,"Àwọn ṣòkòtò náà lágbára, wọ́n sì máa ń dúró dáadáa",Ojú ń tì mí láti wọ aṣọ tí mo rà,10,10,1.0,False,False,False
S045,yor,A,sentiment,A neighbour,unknown,Mo fẹ́ràn aládùúgbò mi,Aládùúgbò mi kò ní àánú rárá,4,6,1.5,False,False,False
S046,yor,A,sentiment,A neighbour,unknown,Aládùúgbò mi pín àwọn oúnjẹ adùn tí wọ́n sè nílé,Aládùúgbò mi kò ní ìtìjú kankan,10,6,1.6666666666666667,False,False,False
S047,yor,A,sentiment,A neighbour,unknown,Aládùúgbò mi ràn mí lọ́wọ́ láti tún odi ọgbà mi tí ó ti bàjẹ́ ṣe,Aládùúgbò mi  máa ń jí nǹkan nínú ilé mi,15,9,1.6666666666666667,False,False,False
S048,yor,A,sentiment,A neighbour,unknown,Ẹgbẹ́ àwọn olùgbé agbègbè náà ṣètò ìgbòkègbodò ìmọ́tótó tó so èso rere,Aládùúgbò mi jẹ́ ẹni tí ó ní ìmọ́ toto,12,9,1.3333333333333333,False,False,False
S049,yor,A,sentiment,Traffic in town,unknown,Ọkọ̀ n lọ dáadáa láìsí ìdènà ní àkókò,Ìdènà ọ̀nà wà ní ìlú báyìí,8,6,1.3333333333333333,False,False,False
S050,yor,A,sentiment,Traffic in town,unknown,mọ gbádùn ojú-ilè ilú nigbati mọ wà nínú idádùró mọ́tò,mi ò gbádùn bí wọ́n ṣe wo mi nínú lẹ̀mọ́ra mọ́tò,10,11,1.1,False,False,False
S051,yor,A,sentiment,Traffic in town,unknown,mọ rí ilé-arọ́ ti mo wá fún nigbàtí mọ wà nínú mọ́tò,mi ò ní sí níbi ìpàdé nítorí ìdènà ọ̀nà,12,9,1.3333333333333333,False,False,False
S052,yor,A,sentiment,Traffic in town,unknown,mọ rí ọ̀rẹ́ mi kan nínú mọ́tò rẹ̀ ni nígbà idádùró ọ̀sán,mi ò̀ lè bá ọ̀rẹ́ mi nítorí ìdènà oríta,12,9,1.3333333333333333,False,False,False
S053,yor,A,sentiment,A phone you bought,unknown,mọ ní ágbára láti mu fọ́tò pẹ̀lú erọ ìsọ-ohùn mi tuntun,ẹ̀rọ alámùúká Nókíà mi kọ da láti mu fọ́tò pẹ̀lú,11,10,1.1,False,False,False
S054,yor,A,sentiment,A phone you bought,unknown,fóònù ti mọ rà ṣíṣè gan,fóònù tí mò ń lò nígbàyǐ lọra gan,6,8,1.3333333333333333,False,False,False
S055,yor,A,sentiment,A phone you bought,unknown,mọ le gbọ́ àgọ́ rédíò tuntun lórí tẹlifóònù mi,mi ò lè gbọ ìròhìn mọ lórí tẹlifóònù tuntun mi,9,10,1.1111111111111112,False,False,False
S056,yor,A,sentiment,A phone you bought,unknown,nẹtiwọọki airtel ọ da pèlú ẹ̀rọ alámùúká mi,nẹtiwọọki mtn kọ da lórí ẹ̀rọ alámùúká iphone mi,8,9,1.125,False,False,False
S057,yor,A,sentiment,The rainy season,unknown,Mọ n retí lati gbìn àgbàdo nigbà ti igbà òjò ba de,àwọn ẹ̀wà ti mọ gbìn ma kú ti ìgbà òjò tidé,12,11,1.0909090909090908,False,False,False
S058,yor,A,sentiment,The rainy season,unknown,Mo n gbádùn àsìkò òjò yìí báyìí tí mo ti gbin ìrẹsì,Mi ọ gbádùn àsìkò òjò yìí,12,6,2.0,False,False,False
S059,yor,A,sentiment,The rainy season,unknown,àkókò òjò bẹ̀rẹ̀ nígbà tí mo lọ fún ìsinmi,àkókò òjò bẹ̀rẹ̀ nígbà tí mo bẹ̀rẹ̀ iṣé,9,8,1.125,False,False,False
S060,yor,A,sentiment,The rainy season,unknown,ìròyìn ayọ̀ dé pẹ̀lú àkókò òjò,inú mi bàjẹ́ nígbà tí mo gbọ́ pé àsìkò òjò ti dé,6,12,2.0,False,False,False
S061,yor,A,sentiment,A friend's visit,unknown,inú mi dùn láti pàdé ọ̀rẹ́ mi nílé,ó ṣeni àkóbá pé ọ̀rẹ́ mi wá bà mi nílé,8,10,1.25,False,False,False
S062,yor,A,sentiment,A friend's visit,unknown,ọ̀rẹ́ mi àtijọ́ wá lónìí pẹ̀lú ẹ̀bùn,ọ̀rẹ́ mi àtijọ́ máa ń wá wò mí láti jẹ oúnjẹ mi,7,12,1.7142857142857142,False,False,False
S063,yor,A,sentiment,A friend's visit,unknown,mo lè ṣeré ayò nígbà tí ọ̀rẹ́ mi dé,mo pàdánù eré ìdárayá dáma nítorí pé ọ̀rẹ́ mi wá,9,10,1.1111111111111112,False,False,False
S064,yor,A,sentiment,A friend's visit,unknown,àtiṣe oúnjẹ ọ̀sán bí ọ̀rẹ́ mi ṣe dé,ọ̀rẹ́ mi wá nígbàtí tì ó rẹ̀ mí gan-an,8,9,1.125,False,False,False
S065,yor,A,sentiment,Your work or job,unknown,mo tí parí iṣẹ́ tí mò ń ṣe níbi iṣẹ́,mo ti dí lẹ́nu iṣẹ́ kan pàtó níbi iṣẹ́,10,9,1.1111111111111112,False,False,False
S066,yor,A,sentiment,Your work or job,unknown,wọ́n ti gbé mi ga sípò tuntun níbi iṣẹ́ mi,Wọ́n ti rẹ̀ mi sílẹ̀ ní oṣù yìí níbi iṣẹ́ mi,10,11,1.1,False,False,False
S067,yor,A,sentiment,Your work or job,unknown,olórí ilé iṣẹ́ mi gbóríyìn fún iṣẹ́ tí mo ti ṣe,olùdarí ilé iṣẹ́ mi sọ pé ẹ̀gbin ni iṣẹ́ mi,11,10,1.1,False,False,False
S068,yor,A,sentiment,Your work or job,unknown,àwọn iléeṣẹ́ àgbáyé ti gbóríyìn fún iṣẹ́ mi,àwọn ilé iṣẹ́ àgbáyé ti kọjú ìjà sí iṣẹ́ tí mo gbé kalẹ̀,8,13,1.625,False,False,False
S069,yor,A,sentiment,A tailor's work,unknown,aláṣọ mi ṣe àpẹ̀rẹ tó mọ fé sí bùbá mi,aláṣọ mi ṣe àfikún àwòrán tí mi ò fẹ́ràn sí bùbá mi,10,12,1.2,False,False,False
S070,yor,A,sentiment,A tailor's work,unknown,gbogbo ènìyàn ló gbóríyìn fún aṣọ tí télọ̀ ṣe,gbogbo èèyàn ló kórìíra aṣọ tí télọ̀ tó o dábàá fún mi,9,12,1.3333333333333333,False,False,False
S071,yor,A,sentiment,A tailor's work,unknown,ó yà mí lẹ́nu gan pé aláṣọ tó wà nítòsí ń ṣiṣẹ́ kánkán gan,inú bí mi gan nítorí pé aláṣọ mi ò fi bẹ́ẹ̀ ṣiṣẹ́ dáadáa,14,13,1.0769230769230769,False,False,False
S072,yor,A,sentiment,A tailor's work,unknown,télọ̀ yìí máa ń ṣe agbádá tó dára gan,télọ̀ yìí máa ń ṣe aṣọ-kóòtù tí kò dára rárá,9,10,1.1111111111111112,False,False,False
S073,yor,A,sentiment,The cost of transport,unknown,lílo ọkọ̀-nlá akérò ti dínwó báyìí ju takisí lọ,"lílo ọkọ̀-nlá akérò ti di ohun tí wọ́n ju báyìí
ju takisí lọ",9,13,1.4444444444444444,False,False,False
S074,yor,A,sentiment,The cost of transport,unknown,gbígbé kẹ̀kẹ̀ yára ju rírìn lọ,alùpùpù ti wọ́n láti lò,6,5,1.2,False,False,False
S075,yor,A,sentiment,The cost of transport,unknown,ìrìn àjò pẹ̀lú ọkọ̀ ojú-irin jẹ́ èyí tí ó rọgbọ,ìrìn-àjò pẹ̀lú ọkọ̀ òfúrufú kò dùn rárá,10,7,1.4285714285714286,False,False,False
S076,yor,A,sentiment,The cost of transport,unknown,gbígba kẹ̀kẹ́ mi lọ sí iṣẹ́ máa ń jẹ́ kí n dín owó tí mò ń ná kù,gbígbé ọkọ̀ mi lọ sí iṣẹ́ ti di ohun tó wọ́n báyìí,18,12,1.5,False,False,False
S077,yor,A,sentiment,A family gathering,unknown,inú mi dùn láti rí àwọn lẹ́bí ní ìpàdé ìdílé,mi ò dé ibi tí wọ́n ti pè mí nítorí ìpàdé ìdílé,10,12,1.2,False,False,False
S078,yor,A,sentiment,A family gathering,unknown,inú mi dùn láti jẹ oúnjẹ dáradára ní àpéjọ ìdílé,oúnjẹ tí wọ́n má sẹ níbi àpèjọ ìdílé kò ní dáa,10,11,1.1,False,False,False
S079,yor,A,sentiment,A family gathering,unknown,ayẹyẹ ìgbéyàwó ẹbí mi jẹ́ ayẹyẹ aláyọ̀,ó baninújẹ́ pé a ma pàdé nítorí ikú àbúrò bàbá wa,7,11,1.5714285714285714,False,False,False
S080,yor,A,sentiment,A family gathering,unknown,a ní láti ṣe ayẹyẹ ọjọ́ ìbí ọgọ́rùn-ún ọdún ìyá àgbà,ṣé ọ̀nà kan wà tá a lè gbà yẹra fún ṣíṣe ayẹyẹ ọjọ́ ìbí àbúrò bàbá tí a kò fẹ́ràn,11,20,1.8181818181818181,False,False,False
S081,yor,A,sentiment,Music you heard,unknown,ọrin láti akọrin yẹn ní mọ fẹ́ràn jù,mi ò fẹ́ràn orin láti olórin yẹn,8,7,1.1428571428571428,False,False,False
S082,yor,A,sentiment,Music you heard,unknown,Mọ gbádùn orin lati tẹlifóònù nokia mi,mi ò gbádùn orin ti o fi si komputa mi,7,10,1.4285714285714286,False,False,False
S083,yor,A,sentiment,Music you heard,unknown,ọrin ti mo gbọ́ dúmínínú,orin ti mo gbọ́ ṣe mi àníyàn,5,7,1.4,False,False,False
S084,yor,A,sentiment,Music you heard,unknown,sé o ti gbó orin to dára láti ilé aládǔgbò,sé iọ ti gbọ́ orin búburú ti àwọn aráilé gbọ́,10,10,1.0,False,False,False
S085,yor,A,sentiment,Service at a shop,unknown,ilé ìtajà fún mi jara pẹ̀lú èso ti mo ra,Olùṣọ́ ọjà mú díẹ̀ lára àwọn nǹkan tí mo rà,10,10,1.0,False,False,False
S086,yor,A,sentiment,Service at a shop,unknown,ẹni tó ni ilé ìtajà náà ṣe dáadáa lónìí,onílé ọjà náà ò mọ̀wà hù rárá lónìí,9,8,1.125,False,False,False
S087,yor,A,sentiment,Service at a shop,unknown,mo rí owó gidi gbà ní ilé ìtajà tẹlifíṣọ̀n,mi ò rí owó tó pọ̀ ní ilé iṣẹ́ oníbàárà,9,10,1.1111111111111112,False,False,False
S088,yor,A,sentiment,Service at a shop,unknown,mo gba àfikún apá kan lọ́fẹ̀ẹ́ lọ́dọ̀ oníṣẹ́-ọnà,mi ò rí iṣẹ́ àfikún kankan gbà ní ilé irun,8,10,1.25,False,False,False
S089,yor,A,sentiment,Farming or the harvest,unknown,mo kórè ọ̀pọ̀ iṣu ju bí mo ṣe rò lọ,mo kórè òdòdó iṣu-kókò díẹ̀ ju bí mo ṣe rò lọ,10,11,1.1,False,False,False
S090,yor,A,sentiment,Farming or the harvest,unknown,tòmátì ti mo gbìn ṣe rere fún oko mi,ìgbá ti mo gbìn kò dára fún oko mi ní oṣù yìí,9,12,1.3333333333333333,False,False,False
S091,yor,A,sentiment,Farming or the harvest,unknown,mo kórè gbogbo ọkọ̀ tó kún fún àgbàdo lọ́dún yìí,mi ò lè kórè àpò ewa látìgbà tí mo ti bẹ̀rẹ̀ iṣẹ́ àgbẹ̀,10,13,1.3,False,False,False
S092,yor,A,sentiment,Farming or the harvest,unknown,ìrẹsì ló dára jù lọ láti gbìn ní ilú yìí,àṣìṣe ló jẹ́ láti gbin òdùkún,10,6,1.6666666666666667,False,False,False
S093,yor,A,sentiment,Travelling home for a holiday,unknown,àwòran náà lẹ́wà nígbà tí mo bá ń padà sílé,ó máa ń rùn nígbàkigbà tí mo bá ń padà sílé,10,11,1.1,False,False,False
S094,yor,A,sentiment,Travelling home for a holiday,unknown,ó máa ń dákẹ́ nígbà tí mo bá dé abúlé mi,àwọn ọ̀nà tó lọ sí abúlé mi kò dára rárá,11,10,1.1,False,False,False
S095,yor,A,sentiment,Travelling home for a holiday,unknown,ìrìn àjò kékeré ni láti padà sílé,ẹ̀gbọ́n mi sọ fún mi pé ìrìn-àjò gígùn ni fún un láti délé,7,13,1.8571428571428572,False,False,False
S096,yor,A,sentiment,Travelling home for a holiday,unknown,ilé náà máa ń rẹwà nígbà tí mo bá délé,àwọn ilé náà ti bàjẹ́ gan nígbà tí mo dé abúlé náà,10,12,1.2,False,False,False
S097,yor,A,sentiment,Learning something new,unknown,mo kọ́ ọ̀rọ̀ tuntun lónìí ní kíláàsì èdè gẹ̀ẹ́sì,olùkọ́ èdè gẹ̀ẹ́sì kò lè kọ́ wa ní orí tó tẹ̀lé ìwé náà,9,13,1.4444444444444444,False,False,False
S098,yor,A,sentiment,Learning something new,unknown,mo ti mọ bí mo ṣe lè borí eré orí fídíò yẹn,mi ò lè lóye ìtọ́ni tó wà níbí,12,8,1.5,False,False,False
S099,yor,A,sentiment,Learning something new,unknown,Níkẹyìn mo mọ̀ bí mo ṣe lè lo aṣírò mi láti yanjú àpapọ̀ náà,mi ò lè lo tábìlì onípò mẹ́rin láti yanjú àwọn ìbéèrè ìṣirò,14,12,1.1666666666666667,False,False,False
S100,yor,A,sentiment,Learning something new,unknown,mo ti kọ́ bí mo ṣe ń fi owó ṣòwò láti lè fi owó tó pọ̀ sí i pamọ́,ọ̀nà ìnáwó tí mo kọ́ kò fi mí lówó lọ́wọ́,19,10,1.9,False,False,False
ES001,yor,C,sentiment,Buying something at the market,nllb-200-3.3B,"Mo rí ìrẹsì náà ní owó díẹ̀ lónìí, ẹni tó ta á tún fi kún un.","Owó tí mo san fún ìrẹsì yìí ti pọ̀ jù, síbẹ̀ olówò náà ṣì fi owó náà dù mí.",16,19,1.1875,False,False,False
ES002,yor,C,sentiment,Buying something at the market,nllb-200-3.3B,"Àwọn tòmátì tí mo rà láàárọ̀ yìí jẹ́ tuntun, wọ́n sì lówó pọ́ọ́kú.","Àwọn tòmátì tí mo rà láàárọ̀ yìí ti rọ, wọ́n sì ti ń bàjẹ́.",13,14,1.0769230769230769,False,False,False
ES003,yor,C,sentiment,Buying something at the market,nllb-200-3.3B,Mo rí gbogbo nǹkan tó wà nínú ìtòlẹ́sẹẹsẹ mi ní ọjà náà lẹ́ẹ̀kan ṣoṣo.,"Mo rìn káàkiri gbogbo ọjà náà, síbẹ̀ mi ò rí ìdajì lára àwọn nǹkan tí mo kọ sílẹ̀.",14,18,1.2857142857142858,False,False,False
ES004,yor,C,sentiment,Buying something at the market,nllb-200-3.3B,Oníṣòwò náà fún mi ní owó tó yẹ láìjẹ́ pé mo béèrè.,"Bí oníṣòwò náà ṣe ń rí mi, bẹ́ẹ̀ ló ń fi owó náà sókè sí i.",12,16,1.3333333333333333,False,False,False
ES005,yor,C,sentiment,The phone network today,nllb-200-3.3B,"Gbogbo àárọ̀ ni ìkànnì náà ti dúró sán-ún, àwọn ìpè mi sì ń lọ dáadáa.","Gbogbo òwúrọ̀ ni kò sí ìgbóhùnsáfẹ́sọ̀rọ̀ lórí rédíò, gbogbo ìgbà ni mo máa ń pàdánù àwọn èèyàn tí mò ń pè.",15,21,1.4,False,False,False
ES006,yor,C,sentiment,The phone network today,nllb-200-3.3B,Mo gba gbogbo ohun tí mo nílò sórí Íńtánẹ́ẹ̀tì láàárín ìṣẹ́jú mélòó kan lónìí.,Mo ti ń gbìyànjú láti gba fáìlì kan sílẹ̀ láti òwúrọ̀.,14,11,1.2727272727272727,False,False,False
ES007,yor,C,sentiment,The phone network today,nllb-200-3.3B,"Nígbẹ̀yìngbẹ́yín, àwọn ìsọfúnni ti ń ṣiṣẹ́ dáadáa ní àgbègbè mi.",Àwọn ìsọfúnni kò wúlò ní àgbègbè mi láti àná.,10,9,1.1111111111111112,False,False,False
ES008,yor,C,sentiment,The phone network today,nllb-200-3.3B,"Mo pe àbúrò mi, kò sì séèyàn kankan lórí tẹlifóònù.","Mo pe arákùnrin mi, mi ò sì gbọ́ ohun tó ń sọ.",10,12,1.2,False,False,False
ES009,yor,C,sentiment,A journey by bus,nllb-200-3.3B,"Ọkọ̀ náà gbéra lásìkò, a sì tètè dé ibẹ̀ ju bí mo ṣe rò lọ.","Wákàtí mẹ́ta ni bọ́ọ̀sì náà fi pẹ́ nínú ìrìn àjò rẹ̀, òru la sì débẹ̀.",15,15,1.0,False,False,False
ES010,yor,C,sentiment,A journey by bus,nllb-200-3.3B,"Mo jókòó sẹ́gbẹ̀ẹ́ wíńdò, mo sì sùn lọ́pọ̀ ìgbà lójú ọ̀nà.","Èèyàn méjì ló gbá mi mọ́ra, mi ò sì rí oorun sùn rárá.",11,13,1.1818181818181819,False,False,False
