seed_id,concept,subject,positive_en,negative_en
ES100,sentiment,Learning something new,"I taught someone else what I learned, that felt good.",I tried to explain it to someone and realised I do not know it.
EP001,politeness,Buying something at the market,"Good morning sir, please I wanted to ask whether you are going to the market today.","Morning, are you going to the market today?"
EP002,politeness,Buying something at the market,"Please ma, if it is not too much trouble, could you help me buy some rice?",Please can you help me buy rice when you go?
EP003,politeness,Buying something at the market,"Sir, I have returned from the market and I brought what you asked for.","I'm back from the market, I got your things."
EP004,politeness,Buying something at the market,"Please sir, would you like me to get anything for you while I am there?",You need anything from the market? Just tell me before I go out.
EP005,politeness,The phone network today,"Good afternoon ma, I hope you can hear me, the network here is not clear.",Can you hear me? The network here is bad.
EP006,politeness,The phone network today,"Sir, please forgive me, my line cut off while we were speaking earlier.","Sorry, my line cut earlier, the network here has been really bad today."
EP007,politeness,The phone network today,"Please sir, may I call you again later when the network improves?",Let me call you back when the network is better.
EP008,politeness,The phone network today,"Good evening ma, I tried reaching you all day but the network was down.","I tried calling you all day, network was down."
EP009,politeness,A journey by bus,"Good morning sir, I wanted to inform you that I have boarded the bus.","I've entered the bus, we should be moving in the next few minutes."
EP010,politeness,A journey by bus,"Please ma, I have arrived safely, thank you for checking on me.","I've reached safely, thanks for checking."
EP011,politeness,A journey by bus,"Sir, the bus is running late, I did not want you to worry.","Bus is running late, don't worry, I'll message when we start moving."
EP012,politeness,A journey by bus,"Please sir, would it be alright if I travel tomorrow instead of today?",Is it okay if I travel tomorrow instead?
EP013,politeness,School fees,"Good morning sir, I am writing to ask about the school fees for this term.","Morning, do you know what the fee is for this term? I need to plan."
EP014,politeness,School fees,"Please ma, I would be grateful if I could pay the fees in two parts.",Can I pay the fees in two parts?
EP015,politeness,School fees,"Sir, I have paid the fees and I will bring the receipt tomorrow.","I've paid the fees, I'll bring the receipt tomorrow."
EP016,politeness,School fees,"Please sir, could you kindly tell me the deadline for payment?",When's the deadline for payment? I want to sort it out this week.
EP017,politeness,A wedding you attended,"Good evening ma, thank you for inviting me, the ceremony was beautiful.","Thanks for the invite, the wedding was lovely."
EP018,politeness,A wedding you attended,"Please sir, I am sorry I could not attend the wedding yesterday.",Sorry I missed the wedding yesterday.
EP019,politeness,A wedding you attended,"Sir, please accept my congratulations on the wedding, may it be blessed.","Congratulations on the wedding, I'm really happy for you both!"
EP020,politeness,A wedding you attended,"Good morning ma, may I ask what time the ceremony will begin?",What time is the wedding starting?
EP021,politeness,The weather this week,"Good morning sir, I hope the heat has not been too much for you.","This heat is too much, how are you coping?"
EP022,politeness,The weather this week,"Please ma, the rain is heavy, kindly take care on your way.","Rain is heavy, take care on the road."
EP023,politeness,The weather this week,"Sir, I hope you are keeping warm, the nights have been cold.","Stay warm, the nights are cold."
EP024,politeness,The weather this week,"Good evening ma, please avoid going out today, the weather is bad.","Don't go out today, weather is bad."
EP025,politeness,Food at a restaurant,"Good afternoon sir, would you like me to order something for you?",You want me to order something for you?
EP026,politeness,Food at a restaurant,"Please ma, the food here is good, I would recommend it to you.","Food here is good, you should try it."
EP027,politeness,Food at a restaurant,"Sir, please forgive me, I have already eaten before coming.","Sorry, I already ate before coming."
EP028,politeness,Food at a restaurant,"Please sir, may I know which of the dishes you prefer?",Which one do you want to eat?
EP029,politeness,A visit to a clinic or hospital,"Good morning sir, I hope you are feeling better than yesterday.",Hope you're feeling better than yesterday.
EP030,politeness,A visit to a clinic or hospital,"Please ma, I will accompany you to the clinic if that is alright.",I can follow you to the clinic if you want.
EP031,politeness,A visit to a clinic or hospital,"Sir, the doctor has asked that you come back next week.",Doctor said you should come back next week.
EP032,politeness,A visit to a clinic or hospital,"Please ma, kindly let me know if you need anything from the pharmacy.",Tell me if you need anything from the pharmacy.
EP033,politeness,A football match,"Good evening sir, did you manage to watch the match yesterday?",Did you watch the match yesterday?
EP034,politeness,A football match,"Please ma, the match starts at four, I did not want you to miss it.","Match starts at four, don't miss it, they said it should be a good one."
EP035,politeness,A football match,"Sir, congratulations, your team played very well yesterday.","Your team played well yesterday, congrats!"
EP036,politeness,A football match,"Please sir, would you like to watch the match together this evening?",You want to watch the match together tonight?
EP037,politeness,Electricity supply,"Good morning sir, I wanted to let you know the light has returned.","Light is back, you can charge your things now before it goes again."
EP038,politeness,Electricity supply,"Please ma, there has been no light since morning, I am sorry.","No light since morning, sorry, I couldn't charge anything for you."
EP039,politeness,Electricity supply,"Sir, may I charge my phone here, there is no light at my place?",Can I charge my phone here? No light at mine.
EP040,politeness,Electricity supply,"Please sir, kindly let me know when they restore the supply.",Tell me when the light comes back.
EP041,politeness,New clothes or shoes,"Good afternoon ma, the clothes you sent fit very well, thank you.","The clothes you sent fit well, thanks!"
EP042,politeness,New clothes or shoes,"Please sir, may I ask where you bought those shoes?",Where did you buy those shoes?
EP043,politeness,New clothes or shoes,"Sir, I will bring the shirt to you tomorrow if that is convenient.",I'll bring the shirt tomorrow if that's fine.
EP044,politeness,New clothes or shoes,"Please ma, kindly help me check the size before you buy it.",Check the size before you buy it.
EP045,politeness,A neighbour,"Good morning sir, thank you for helping with my things yesterday.",Thanks for helping with my things yesterday.
EP046,politeness,A neighbour,"Please ma, would you mind if I park in front of your gate briefly?",Can I park in front of your gate for a bit?
EP047,politeness,A neighbour,"Sir, I am travelling tomorrow, please keep an eye on the house.","I'm travelling tomorrow, watch the house for me."
EP048,politeness,A neighbour,"Please sir, kindly lower the music a little, some people are resting.","Please reduce the music small, people are sleeping."
EP049,politeness,Traffic in town,"Good morning sir, the traffic is heavy today, please leave early.","Traffic is bad today, leave early."
EP050,politeness,Traffic in town,"Please ma, I am stuck in traffic, I will be a little late.","I'm stuck in traffic, I'll be late, don't wait for me before starting."
EP051,politeness,Traffic in town,"Sir, may I suggest you take the other road, it is much clearer.","Take the other road, it's much clearer, I passed there this morning."
EP052,politeness,Traffic in town,"Please sir, kindly let me know when you are leaving so I can wait.",Tell me when you're leaving so I can wait.
EP053,politeness,A phone you bought,"Good afternoon sir, may I ask your advice before I buy this phone?",What do you think of this phone before I buy it?
EP054,politeness,A phone you bought,"Please ma, the phone is working well, thank you for the help.","The phone is working well, thanks for the help."
EP055,politeness,A phone you bought,"Sir, please could you help me check if this price is fair?",Is this price fair? Check for me.
EP056,politeness,A phone you bought,"Please ma, kindly send me the number of the shop you used.",Send me the number of that shop.
EP057,politeness,The rainy season,"Good morning sir, the rains have started, please take care on the road.","Rains have started, be careful on the road."
EP058,politeness,The rainy season,"Please ma, kindly cover the things outside before the rain comes.","Cover the things outside, rain is coming."
EP059,politeness,The rainy season,"Sir, I hope the rain did not reach your side of the house.",Hope the rain didn't enter your side.
EP060,politeness,The rainy season,"Please sir, may I bring in the chairs before it rains?",Let me bring in the chairs before it rains.
EP061,politeness,A friend's visit,"Good evening ma, thank you for receiving me in your home today.","Thanks for having me today, I really enjoyed myself and the food was great."
EP062,politeness,A friend's visit,"Please sir, may I come and greet you this weekend?",Can I come and see you this weekend?
EP063,politeness,A friend's visit,"Sir, I am sorry I could not come as I promised.",Sorry I couldn't come like I said.
EP064,politeness,A friend's visit,"Please ma, kindly let me know a time that is convenient for you.",What time works for you? I'm free most of the weekend either way.
EP065,politeness,Your work or job,"Good morning sir, I have completed the work you assigned to me.",I've finished the work you gave me.
EP066,politeness,Your work or job,"Please ma, may I ask for one more day to finish this?",Can I get one more day for this?
EP067,politeness,Your work or job,"Sir, thank you for the opportunity, I have learned a great deal.","Thanks for the chance, I learned a lot."
EP068,politeness,Your work or job,"Please sir, kindly review this when you have a moment.",Check this when you're free.
EP069,politeness,A tailor's work,"Good afternoon sir, please when will the clothes be ready?",When will the clothes be ready?
EP070,politeness,A tailor's work,"Please ma, the dress is beautiful, thank you for your work.","The dress is beautiful, thank you!"
EP071,politeness,A tailor's work,"Sir, may I come tomorrow to collect the clothes?",Can I come tomorrow for the clothes?
EP072,politeness,A tailor's work,"Please sir, kindly make the sleeves a little shorter.",Make the sleeves a bit shorter.
EP073,politeness,The cost of transport,"Good morning sir, please may I know the current fare to town?",What's the fare to town now?
EP074,politeness,The cost of transport,"Please ma, the fare has increased, I wanted to inform you.","Fare has gone up, just letting you know."
EP075,politeness,The cost of transport,"Sir, I will cover the transport, please do not worry about it.","Don't worry about transport, I'll cover it."
EP076,politeness,The cost of transport,"Please ma, kindly send the money for transport when you can.",Send the transport money when you can.
EP077,politeness,A family gathering,"Good evening sir, thank you for hosting all of us yesterday.","Thanks for hosting us yesterday, everyone said they enjoyed themselves."
EP078,politeness,A family gathering,"Please ma, will you be attending the gathering this weekend?",Are you coming to the gathering this weekend?
EP079,politeness,A family gathering,"Sir, I am sorry I will not be able to attend on Saturday.","Sorry, I can't make it on Saturday."
EP080,politeness,A family gathering,"Please sir, kindly let me know what I should bring.",What should I bring? Tell me early so I can buy it on my way.
EP081,politeness,Music you heard,"Good afternoon sir, I heard a song today that I think you would enjoy.","Heard a song today that you'd really like, let me send it to you."
EP082,politeness,Music you heard,"Please ma, could you kindly send me that song you played?",Send me that song you played.
EP083,politeness,Music you heard,"Sir, please would you mind if I play some music while we work?",Can I play music while we work?
EP084,politeness,Music you heard,"Please ma, the music is a little loud, may I reduce it?","Music is loud, let me reduce it."
EP085,politeness,Service at a shop,"Good morning sir, please could you help me find this item?",Please help me find this item.
EP086,politeness,Service at a shop,"Please ma, thank you for your patience, you were very helpful.","Thanks for your patience, you really helped."
EP087,politeness,Service at a shop,"Sir, may I exchange this item, I have the receipt with me.",Can I exchange this? I have the receipt.
EP088,politeness,Service at a shop,"Please ma, kindly let me know when the item is back in stock.",Tell me when it's back in stock.
EP089,politeness,Farming or the harvest,"Good morning sir, I hope the harvest has been good this season.",Hope the harvest is going well this season.
EP090,politeness,Farming or the harvest,"Please ma, may I come and help on the farm this weekend?",Can I come help on the farm this weekend?
EP091,politeness,Farming or the harvest,"Sir, the maize is ready, please let me know when to harvest.","Maize is ready, tell me when to harvest."
EP092,politeness,Farming or the harvest,"Please sir, kindly advise me on when to plant this year.",When should I plant this year?
EP093,politeness,Travelling home for a holiday,"Good morning sir, I will be travelling home next week, God willing.","I'm travelling home next week, I'll let you know once I get there."
EP094,politeness,Travelling home for a holiday,"Please ma, I have arrived home safely, thank you for everything.","I've reached home safely, thanks for everything."
EP095,politeness,Travelling home for a holiday,"Sir, may I ask permission to travel a day earlier than planned?",Can I travel a day earlier?
EP096,politeness,Travelling home for a holiday,"Please ma, kindly greet everyone at home for me.",Greet everyone at home for me.
EP097,politeness,Learning something new,"Good afternoon sir, thank you for teaching me, I understand it now.","Thanks for teaching me, I get it now."
EP098,politeness,Learning something new,"Please ma, could you kindly explain that part again?",Can you explain that part again?
EP099,politeness,Learning something new,"Sir, I have been practising as you advised and it is improving.","I've been practising like you said, it's improving."
EP100,politeness,Learning something new,"Please sir, may I ask a question about what we did yesterday?",Can I ask about yesterday's lesson?
